国名	公用語
トルコ	トルコ語
トンガ	トンガ語、英語（英国式）
ナイジェリア	英語（英国式）
ナウル	英語（英国式）、ナウル語
ナミビア	英語（英国式）
ニウエ	ニウエ語、英語（英国式）
ニカラグア	スペイン語、英語（米国式）
ニジェール	フランス語
ニューカレドニア	フランス語
ニュージーランド	英語（英国式）、マオリ語、ニュージーランド手話
ネパール	ネパール語
ノルウェー	ノルウェー語
バーレーン	アラビア語
ハイチ	フランス語、クレオール語
パキスタン	ウルドゥー語、英語（英国式）
バチカン	ラテン語
パナマ	スペイン語
バヌアツ	フランス語、英語（英国式）、ビスラマ語
バハマ	英語（米国式）
パプアニューギニア	英語（英国式）、トク・ピシン.ヒリモツ語
バミューダ諸島	英語（米国式）、ポルトガル語
パラオ	パラオ語、英語（英国式）
パラグアイ	スペイン語、グアラニー語
バルバドス	英語（米国式）
ハンガリー	ハンガリー語
バングラデシュ	ベンガル語
フィジー	英語（英国式）、フィジー語、ヒンドゥスターニー語
フィリピン	タガログ語、英語（米国式）
フィンランド	フィンランド語、スウェーデン語
ブータン	ゾンカ語
プエルトリコ	スペイン語、英語（米国式）
ブラジル	ポルトガル語
フランス	フランス語
フランス領ギアナ	フランス語
フランス領ポリネシア	フランス語、タヒチ語
ブルガリア	ブルガリア語
ブルキナファソ	フランス語
ブルネイ	マレー語、英語（英国式）
ブルンジ	スワヒリ語、フランス語、ルンディ語
ベトナム	ベトナム語
ベナン	フランス語
ベネズエラ	スペイン語
ベラルーシ	ベラルーシ語、ロシア語
ベリーズ	英語（米国式）、スペイン語
ペルー	スペイン語
ベルギー	オランダ語、フランス語、ドイツ語
ポーランド	ポーランド語
ボスニア・ヘルツェゴビナ	クロアチア語、セルビア語、ボスニア語
ボツワナ	英語（英国式）、ツワナ語
ボリビア	スペイン語
ポルトガル	ポルトガル語、ミランダ語
ホンジュラス	スペイン語
マーシャル諸島	マーシャル語、英語（米国式）
マカオ	ポルトガル語、中国語（香港台湾式繁体字）
マダガスカル	マダガスカル語、フランス語
マラウイ	英語（英国式）
マリ	フランス語
マルタ	マルタ語、英語（英国式）
マレーシア	マレー語、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語、英語（英国式）
ミクロネシア連邦	英語（米国式）
ミャンマー	ビルマ語（ミャンマー語）
メキシコ	スペイン語
モーリシャス	英語（英国式）、フランス語、クレオール語
モーリタニア	アラビア語
モザンビーク	ポルトガル語
モナコ	フランス語
モルディブ	ディベヒ語
モルドバ	ウクライナ語、ガガウズ語、モルドバ語、ロシア語
モロッコ	アラビア語、ベルベル語、フランス語
モンゴル	モンゴル語
モンテネグロ	モンテネグロ語、セルビア語
ヨルダン	アラビア語
ラオス	ラオス語
ラトビア	ラトビア語
リトアニア	リトアニア語
リビア	アラビア語
リヒテンシュタイン	ドイツ語
リベリア	英語（英国式）
ルーマニア	ルーマニア語
ルクセンブルク	フランス語、ドイツ語、ルクセンブルク語
ルワンダ	ルワンダ語、フランス語、英語（英国式）
レソト	英語（英国式）、ソト語
レバノン	アラビア語
レユニオン	フランス語
ロシア	ロシア語
韓国	韓国語
香港	英語（英国式）、中国語（香港台湾式繁体字）
赤道ギニア	スペイン語、フランス語、ポルトガル語
台湾	中国語（香港台湾式繁体字）
中央アフリカ	フランス語、サンゴ語
中国	中国語（大陸式簡体字）
東ティモール	テトゥン語、ポルトガル語
南アフリカ	アフリカーンス語、英語（英国式）、ズールー語、南ンデベレ語、北ソト語、ソト語、スワジ語、ツォンガ語、ツワナ語、ヴェンダ語、コサ語
日本	日本語
米領サモア	英語（米国式）、サモア語
北マケドニア	アルバニア語、セルビア語、トルコ語、マケドニア語、ロマ語
北マリアナ諸島	英語（米国式）、チャモロ語、カロリニアン語
北朝鮮	朝鮮語
